Метро	Адрес	Планировка	Площадь, м2	Этаж	Этажность здания	Цена, руб.	Описание 
Выставочная	Москва, ЦАО, р-н Пресненский, м. Выставочная, набережная Пресненская, 8с1	3-комн. кв.	225	24	62	149336931	017419 Апартаменты с отделкой в современном стиле. Частично меблирована, установлена встроенная техника.  Спланирована большая зона кухни  гостиной, 2 спальни, небольшие изолированные комнаты, в которых можно сделать кабинет, библиотеку или игровую комнату.  Панорамный вид на реку и центр города.
Цветной бульвар	Москва, ЦАО, р-н Тверской, м. Цветной бульвар, Цветной бульвар, 13	4-комн. кв.	179	4	9	73000000	022047 Сдержанное и основательное здание ЖК Цветной бульвар, 13 представляет собой кирпично-монолитный элитный жилой комплекс, состоящий из трех секций. На 4-м этаже этого дома располагаются просторная квартира площадью 179 кв. м, уже сейчас готовая к тому, чтобы новый хозяин оформил ее согласно своим желаниям и вкусам. Окна квартиры выходят на две стороны  на цирк и во внутренний двор, а ее свободная планировка предполагает обустройство гостиной и трех спален. Для обеспечения безопасности жильцов территория жилого комплекса огорожена и круглосуточно находится под наблюдением. Кроме того, здание оборудовано системами автоматического пожаротушения и автоматической пожарной сигнализацией. Инфраструктура района Цветного бульвара и Сухаревской  одна из самых продуманных в столице. Отличная транспортная доступность.
Шаболовская	Москва, ЦАО, р-н Якиманка, м. Шаболовская, улица Шаболовка, 23к5	3-комн. кв.	123	8	21	59000000	"УНИКАЛЬНАЯ АВТОРСКАЯ КВАРТИРА в ЖК ""Созвездие Капитал-1"" с полностью узаконенной перепланировкой! На 123,5 кв.м комфортно распланирована большая (52 кв.м) гостиная с выделенной зоной кухни и столовой. Две изолированных спальни (22 кв.м и 16 кв.м), одна из которых имеет собственный санузел с ванной-джакузи и отдельную гардеробную комнату. Из второй спальни имеется выход на застекленную лоджию. Квартира полностью укомплектована дорогой встроенной мебелью, изготовленной непосредственно в Италии по индивидуальным эскизам (фабрики Bugatti, Aniboli Colombo, Alpe). Кухня спроектирована и изготовлена фабрикой Pedini. Квартира оснащена комплексной системой индивидуального кондиционирования и воздушного обогрева, установлена охранная сигнализация.  В отделке санузлов использован редкий и дорогой природный камень (мрамор Nero Portore, Юрский камень, Lime Stone), также специально под заказ привезенный из Италии и Германии. Все полы в санузлах и на кухне с подогревом. Сантехника - Flaminia и Duravit. Подоконники также изготовлены из натурального камня. Высокие (2,5 м) межкомнатные двери из массива от Lualdi Porte. Напольные покрытия - паркет Boer (гостиная, столовая, кабинет) и ковролин из натуральной шерсти (спальня). Квартира продается полностью укомплектованной мебелью и техникой.  Жилой комплекс располагается на огороженной территории, заселен и отремонтирован полностью более 5 лет назад, так что Вас не будут беспокоить ремонтные работы соседей.  В подземном паркинге имеется 2 машиноместа (не входит в стоимость, приобретение обсуждается отдельно). Исключительно богатая инфраструктура района (рестораны и кафе, супермаркеты и аптеки, рейтинговые гимназии и детские сады) в шаговой доступности до двух станций метро.  Отличные документы более 5 лет, 1 взрослый собственник (первый владелец). Свободная продажа, быстрый выход на сделку. Идеально подходит под ипотеку (при необходимости окажем помощь в одобрении ипотечного кредита)."
ЦСКА	Москва, САО, р-н Хорошевский, м. ЦСКА, Ходынский бульвар, 15	5-комн. кв.	160	5	12	66000000	Продается прекрасная видовая квартира с дизайнерским ремонтом. Окна выходят на две стороны дома что наполняет квартиру светом. В квартире выполнен дизайнерский ремонт, полы из натурального дерева, плитка керамогранит. Кухня объединена с гостиной что позволяет собраться большой семьей, а прекрасная аура наполняет квартиру комфортом и уютом. Также выделена зона отдыха, вы вполне можете уединиться там с книжкой и чашечкой ароматного кофе. Удобная и функциональная планировка квартиры не оставит равнодушными новых обладателей квартиры: четыре изолированные комнаты, два совмещенных санузла (один с душевой кабиной и своей собственной сауной и второй с ванной) и один гостевой санузел, гардеробная комната, две большие лоджии. Перепланировка узаконена. Также в квартире установлена мощная система охраны.    Жилой комплекс &laquo;опоясывает&raquo; пешеходная зона Ходынский бульвар &mdash; идеальное место для прогулок и катания на велосипедах и роликовых коньках. Большие &laquo;вентилируемые&raquo; пространства и расположенные рядом парковые зоны &mdash; Лугопарк и Березовая роща,- создают хороший экологический климат в районе. А в 2018 году закончат реконструкцию нового парка с красивыми пешеходными аллеями, детскими площадками и батутным центром. Жильцы комплекса, которые передвигаются на автомобиле, оценят близость и удобство транспортных развязок &mdash; ЖК находится в пяти минутах езды от Ленинградского проспекта, Хорошевского шоссе и улицы Алабяна. Выезд на Третье транспортное кольцо довольно удобный, займет максимум 10 минут через Хорошевское шоссе.    Номер лота 69175
Минская	Москва, ЗАО, р-н Раменки, м. Минская, Мосфильмовская улица, 8	4-комн. кв.	104	43	53	62000000	048441 Предлагается угловая квартира без отделки, свободной планировки с возможностью создания невероятно красивого и функционального жизненного пространства. Прекрасны виды на центр столицы и Москва Сити. ЖК Дом на Мосфильмовской    уникальный небоскреб в респектабельном и зеленом районе столицы, недалеко от Воробьевых гор. ЖК отмечен различными премиями в сфере недвижимости и находится на пятом месте в списке десяти лучших небоскребов мира по версии премии Emporis Skyscraper Award 2012 года.
Аэропорт	Москва, САО, р-н Аэропорт, м. Аэропорт, Кочновский проезд, 4к2	2-комн. кв.	88	4	32	22600000	ЖК Аэробус. Стильная просторная квартира с тремя окнами и качественным дизайнерским евро-ремонтом. Планировка распашонка.  В отделке использовались отделочные материалы премиум сегмента.  Функциональная планировка: просторная столовая-гостиная, кухня, спальня, гардеробная комната,ванная, санузел. Квартира продается под ключ-с мебелью, диванами, столами, встроенной бытовой техникой. Кухонный гарнитур со встроенной бытовой техникой изготавливался под заказ (микроволновая печь, духовая печь встроены). Духовая печь Bosh, посудомоечная машина Neff, холодильник LIEBHER. В квартире заменены все три окна на трехслойные дорогостоящие стеклопакеты, выполнена усиленная шумоизоляция, очень тихо. Организована многоуровневая подсветка. Кондиционирование, теплые полы. Для отделки пола использован натуральный паркет и итальянский керамогранит.  Квартира солнечная, светлая, чистейшая! Высота потолков 3,1 м.  Свободная продажа.  Вся сумма в договоре. ЖК Аэробус -монолитный 32-х этажный комплекс бизнесс-класса. Охраняемая огороженная территория, КПП  на въезде, пропускной режим. Консьерж. Детская и спортивная площадки. Благоустроенная придомовая территория. Подземный паркинг -3 этажа и гостевая парковка, автомойка, химчистка. Салон красоты, стоматологическая клиника, фитнес-клуб, 3 магазина, винный бутик, аптека, банкоматы. В трех минутах пешей доступности роскошный Тимирязевский парк с прудами. М. Аэропорт -12 мин. Пешком. Удобный транспортный выезд на Тверскую ул, 3-е транспортное кольцо направо и налево. , Москва, Северный административный округ, Кочновский проезд 4к2, м. Аэропорт, 2 комн., общ. пл. 88 кв.м., жил.пл. 40 кв.м., комнаты 26/14, кухня 14 кв.м., 4/32 этаж, окна улица, 2 санузла
Краснопресненская	Москва, ЦАО, р-н Пресненский, м. Краснопресненская, улица Красная Пресня, 21	4-комн. кв.	170	6	12	55000000	017381 Новый жилой комплекс Красная Пресня, 21 расположен в Пресненском районе Москвы. Это самый центр столицы с развитой инфраструктурой и высокой транспортной доступностью. Все, что нужно для жизни, находится рядом с домом: рестораны, аптеки, салоны красоты, развлекательные и торговые центры, поликлиники, учебные заведения. Поблизости  планетарий, Московский зоопарк, парки Пресненский и Декабрьского восстания, Краснопресненская набережная, музей В. В. Маяковского, детский центр Дружба, станции метро Краснопресненская и Баррикадная. Жилой комплекс Красная Пресня, 21  это современный 12-этажный дом, построенный в 2002 году по индивидуальному проекту. Все инженерные и технические системы  самые современные. Внутренняя территория огорожена, оборудована детской игровой площадкой, наземной парковкой. Для автомобилей жильцов построен также подземный паркинг. Вся территория охраняется круглосуточно. На шестом этаже предлагается четырехкомнатная квартира площадью 169,7 кв. м. Продуманная функциональная планировка включает гостиную, кухню, три спальни, ванную комнату и гостевой санузел. Окна кухни и гостиной выходят на ул. Красная Пресня, а окна спален в тихий двор. Выполнен качественный ремонт. Интерьер оформлен в классическом стиле, выдержан в светлых тонах. Квартира полностью готова к заселению. Квартира в ЖК Красная Пресня, 21 станет для вас уютным семейным миром со спокойным, размеренным темпом, когда вокруг кипит деловая жизнь столичного мегаполиса.
Рижская	Москва, СВАО, р-н Марьина роща, м. Рижская, улица Сущевский Вал, 73	3-комн. кв.	63	3	12	12000000	Продается 3-х комнатная квартира в пешей доступности от трех станций метро. Окна на три стороны (все во двор),два балкона, тамбур на три квартиры, подъезд чистый(без запахов), квартира с муниципальной отделкой, первичные документы, в договоре полная стоимость.
Алексеевская	Москва, СВАО, р-н Алексеевский, м. Алексеевская, проспект Мира, 102С12	3-комн. кв.	119	6	6	29760000	"ДОМ СДАН! КЛЮЧИ НА РУКАХ. ЖК ""Парк Мира"" Апартаменты . Ипотека % . Рассрочка 0% на 6 месяцев. Выдача ключей в день покупки! До метро Алексеевская (10 мин пешком.) Квартал в стиле эко-фьюжн , Апартамент как для проживания, так и для инвестиций! Предлагается АПАРТАМЕНТ 119,00 кв.м. в ЖК ""Парк Мира"". В Парке Мира открылся детский сад Happy Mind. На его территории расположен детский клуб, две действующие многофункциональные площадки, специальные места для прогулок. Теперь маленькие жители квартала смогут вместе играть, рисовать, изучать английский и китайский языки, осваивать азы математики и астрономии, заниматься актерским мастерством, а также различными видами спорта и танцев. Квартал Парк Мира оборудован удобной подземной парковкой. Для жителей комплекса Парк Мира открыт новый выезд с внутренней территории на Дроболитейный переулок. Он позволит быстро и комфортно добираться до центра Москвы. Парк Мира  квартал с развитой инфраструктурой. Вам не придется выезжать за его пределы, чтобы встретиться с друзьями в кафе или посетить салон красоты. Здесь успешно работают рестораны и кафе, фитнес-клуб, центры медицины и стоматологии, магазины цветов и многие другие.    Дом сдан, идет выдача ключей!"
Алексеевская	Москва, СВАО, р-н Алексеевский, м. Алексеевская, проспект Мира, 102С12	2-комн. кв.	76	3	6	17720000	"ДОМ СДАН! КЛЮЧИ НА РУКАХ. ЖК ""Парк Мира"" Апартаменты . Ипотека % . Рассрочка 0% на 6 месяцев. Выдача ключей в день покупки! До метро Алексеевская (10 мин пешком.) Квартал в стиле эко-фьюжн , Апартамент как для проживания, так и для инвестиций! Предлагается АПАРТАМЕНТ 76,10 кв.м. в ЖК ""Парк Мира"". В Парке Мира открылся детский сад Happy Mind. На его территории расположен детский клуб, две действующие многофункциональные площадки, специальные места для прогулок. Теперь маленькие жители квартала смогут вместе играть, рисовать, изучать английский и китайский языки, осваивать азы математики и астрономии, заниматься актерским мастерством, а также различными видами спорта и танцев. Квартал Парк Мира оборудован удобной подземной парковкой. Для жителей комплекса Парк Мира открыт новый выезд с внутренней территории на Дроболитейный переулок. Он позволит быстро и комфортно добираться до центра Москвы. Парк Мира  квартал с развитой инфраструктурой. Вам не придется выезжать за его пределы, чтобы встретиться с друзьями в кафе или посетить салон красоты. Здесь успешно работают рестораны и кафе, фитнес-клуб, центры медицины и стоматологии, магазины цветов и многие другие.    Дом сдан, идет выдача ключей!"
Театральная	Москва, ЦАО, р-н Тверской, м. Театральная, Газетный переулок, 13С1	3-комн. кв.	76	9	13	55894800	027048 Предлагается на продажу 3-комнатная квартира. Спальня, кабинет, гостиная-столовая, кухня. Из окон открываются панорамные виды на центр города. Входная группа в отличном состояние.. Парковка во дворе под шлагбаум. Дом располагется в тихом центре. Пешая доступность до Кремля и Красной площади
Киевская	Москва, ЗАО, р-н Раменки, м. Киевская, Мосфильмовская улица, 8	2-комн. кв.	75	6	33	48209265	"Если Вы искали квартиру с характером, то Вы ее нашли!!! Можно смело сказать, что ремонт выполнен на высоте! Лучшее предложение ""цена-качество"" в доме!  Спланировано: кухня-гостиная, санузел, спальня с шикарной гардеробной. Мебель выполнена под заказ. Страна производитель мебели и света - Италия. В гостиной панорамные окна, везде в квартире каменные подоконники, каменный камин на биотопливе (так же выполнен под заказ). Кожаные обои ARMANI, сантехника Villeroy-Boch. Продуман каждый сантиметр ремонта. Эта квартира быстро найдет своего покупателя. Спешите на просмотр! ОФИС ПРОДАЖ квартир в ЖК ""ДОМ НА МОСФИЛЬМОВСКОЙ"". Самый эффектный и модный небоскреб рядом с центром Москвы с неповторимым авторским решением от известного архитектора Сергея Скуратова. Удобная транспортная доступность, до Кремля 10 мин. Уютная огороженная территория с площадкой для спорта и отдыха с детьми, салоны красоты, квалифицированная круглосуточная охрана, видеонаблюдение, трехуровневый подземный паркинг с автомойкой. Секция В. ВОЗНАГРАЖДЕНИЕ АГЕНТАМ. ОПЕРАТИВНЫЙ ПОКАЗ! Прямой представитель собственника - Екатерина."
Улица 1905 года	Москва, ЦАО, р-н Пресненский, м. Улица 1905 года, улица Сергея Макеева, 9к2	4-комн. кв.	150	11	17	58000000	Лот: 15544 ПРЕДЛОЖЕНИЕ ОТ ФИЗ ЛИЦА! Предлагается прекрасная 4-комнатная квартира без отделки в ЖК RedSide. Квартира имеет свободную планировку, высокие потолки, что позволяет создать жилое пространство на любой вкус. Метраж квартиры позволяет создать просторную кухню, гостиную, 3 спальни, 4 санузла, 2 балкона.   RedSide  новый современный жилой квартал премиум-класса, расположенный в центре Москвы, в уютном районе со сложившейся инфраструктурой и богатым историческим наследием.  В RedSide полностью реализован принцип собственной инфраструктуры в шаговой доступности  жителям новостройки не придется тратить время в пробках, ведь все необходимое для жизни находится в непосредственной близости от дома. Внутренний двор жилого комплекса RedSide полностью освобожден от движения автомобилей. Это по-настоящему безопасное пространство с живописным тенистым сквером, прогулочными дорожками, спортивными и детскими площадками.
Парк Культуры	Москва, ЦАО, р-н Хамовники, м. Парк Культуры, улица Льва Толстого, 23/7кв	4-комн. кв.	175	4	7	99000000	Лот: 20125 Предлагается прекрасная 4-комнатная квартира в ЖК Литератор без отделки. Жилой комплекс отвечает всем требованиям, предъявляемым к жилью Премиум класса. Квартира имеет свободную планировку, позволяющую создать жилое пространство на любой вкус. Метраж квартиры предполагает кухню-гостиную, 3 спальни, 3 санузла, лоджию 7,2 кв. м. В наличии 2 машиноместа.  ЖК Литератор - это малоэтажный элитный жилой комплекс с небольшими уютными дворами, что создает ощущение приватности и гармонии. Комплекс находится под круглосуточной охраной, сигнализацией, системой видеонаблюдения. На территории комплекса есть подземный паркинг. Удобная транспортная доступность и развитая инфраструктура района сделают проживание в квартире еще более комфортным.
	Москва, НАО (Новомосковский), Десеновское поселение, Новые Ватутинки центральный мкр, к8/2	Студия	28	5	13	3180600	
Смоленская	Москва, ЦАО, р-н Хамовники, м. Смоленская, Ружейный переулок, 3	6-комн. кв.	250	11	11	130000000	"ЖК ""Смоленская застава"". Огороженная и охраняемая территория. Квартира пентхаус, с качественным ремонтом, высококачественной встроенной мебелью , техникой, и шикарными панорамами.  Первичные документы, оперативный показ и быстрый выход на сделку."
Улица Скобелевская	Москва, ЮЗАО, р-н Южное Бутово, м. Улица Скобелевская, Старокрымская улица, вл13Б6	2-комн. кв.	55	24	31	6990000	
	Москва, ЦАО, р-н Пресненский, Мантулинская улица	3-комн. кв.	94	2	20	25380000	
Деловой центр	Москва, ЦАО, р-н Пресненский, м. Деловой центр, 1-й Красногвардейский проезд, 15	2-комн. кв.	114	45	75	45825000	
Фрунзенская	Москва, ЦАО, р-н Хамовники, м. Фрунзенская, улица Ефремова, 10с1к4/1	2-комн. кв.	62	2	14	32316000	ОПЕРАТИВНЫЙ ПОКАЗ! Продается квартира площадь которой 62,41 кв.м. Без отделки. Планировка: две комнаты, кухня, с/у. 4 окна.
Китай-город	Москва, ЦАО, р-н Басманный, м. Китай-город, Лубянский проезд, 17	3-комн. кв.	78	8	8	38000000	Квартира с панорамными видами на Москву на последнем этаже исторического дома и собственным местом для парковки во дворе. Планировка квартиры: гостиная, спальня, большая просторная кухня-гостиная с мебельным гарнитуром и всей необходимой встроенной бытовой техникой, раздельный с/у, в ванной большое окно, холл, лоджия, окна выходят на две стороны с панорамными видами на Москву, потолки 3,2 м, полностью меблирована. Просторный ухоженный подъезд без посторонних запахов, консьерж, видеонаблюдение, хорошие соседи, двор огорожен, шлагбаум, во дворе много парковочных мест. Развитая инфраструктура, рядом школа и детский сад, поликлиника, сквер и парк для прогулок с детьми, много сетевых магазинов, несколько больших сетевых фитнес-клубов, удобный выезд на основные транспортные магистрали города. Документы: ДКП, полная стоимость в договоре, никто не зарегистрирован, свободная продажа, подходит под ипотеку, может продаваться с мебелью и всеми предметами интерьера.
Тропарево	Москва, ЗАО, р-н Тропарево-Никулино, м. Тропарево, проспект Вернадского, 94к4	3-комн. кв.	130	6	37	43000000	3-х к.кв., м. Юго-западная, 10 минут пешком, просп. Вернадского, дом 94, корп. 4. Квартира расположена на 6- м этаже 37 этажной башни Миракс парка. Общая площадь- 130 м2(после возведения стен и обмера БТИ- 125,4м2), жилая- 71,2 м2, кухня- гостиная- 36,3 м2 (25,08 м2-гостинная и 11,08 м2-непосредственно кухня). Квартира подготовлена к финишной отделке: возведены, выровнены и оштукатурены стены; выполнены гидроизоляция, шумоизоляция и выравнивающая стяжка; проложены электропроводка и слаботочная проводка, смонтирована водопроводная арматура и канализация. В настоящий момент квартира спланирована как четырехкомнатная, но планировочное решение позволяет при незначительных переделках и затратах трансформировать имеющийся вариант в трехкомнатную, (ВАРИАНТ  3 на фото)или  выбрать другие, идеально отвечающие потребностям нового владельца квартиры. Разработанный проект согласован и зарегистрирован в БТИ. Два просторных санузла избавляют от утренней сутолоки при сборах на работу! Наличие большого количества подсобных помещений позволяет владельцу не загромождать квартиру шкафами. Очень светлая и солнечная квартира с панорамными окнами (остекление от пола до потолка). Квартира для семьи, ценящей сочетание городского комфорта и жизни в закрытой парковой зоне без машин, с первоклассной инфраструктурой. Вместе с квартирой возможна продажа машиномест в подземном паркинге. Квартира свободна. СОБСТВЕННОСТЬ БОЛЕЕ ТРЕХ ЛЕТ! Немного о районе: Район Тропарёво-Никулино один из самых престижных и экологически чистых районов ЗАО. Причина в отсутствии промышленных предприятий и удачном расположении на возвышенности. Район заслуженно пользуется репутацией одного из самых крупных интеллектуального, научного и культурного центров столицы. Здесь находятся 6 высших учебных заведений, из них 3 академии. Много разнообразных учреждений культуры. Район без пром. Предприятий. Отличная транспортная сеть, удобно ехать в любом направлении. Рядом с жилым комплексом находится лесопарк Тропарево-Никулино.
Тропарево	Москва, ЗАО, р-н Тропарево-Никулино, м. Тропарево, проспект Вернадского, 94к4	4-комн. кв.	130	6	37	43000000	4-х комнатная квартира м. Юго-западная, 10 минут пешком, просп. Вернадского, дом 94, корп. 4. Квартира расположена на 6- м этаже 37 этажной башни Миракс парка. Общая площадь- 130 м2(после возведения стен и обмера БТИ- 125,4м2), жилая- 71,2 м2, кухня- гостиная- 36,3 м2 (25,08 м2-гостинная и 11,08 м2-непосредственно кухня). Квартира подготовлена к финишной отделке: возведены, выровнены и оштукатурены стены; выполнены гидроизоляция, шумоизоляция и выравнивающая стяжка; проложены электропроводка и слаботочная проводка, смонтирована водопроводная арматура и канализация. Планировочное решение квартиры позволяет при незначительных переделках и затратах трансформировать имеющийся вариант планировки в другие, идеально отвечающие потребностям нового владельца квартиры. Некоторые варианты перепланировок представлены на фото. Разработанный проект согласован и зарегистрирован в БТИ. Два просторных санузла избавляют от утренней сутолоки при сборах на работу! Наличие большого количества подсобных помещений позволяет владельцу не загромождать квартиру шкафами. Очень светлая и солнечная квартира с панорамными окнами (остекление от пола до потолка). Квартира для семьи, ценящей сочетание городского комфорта и жизни в закрытой парковой зоне без машин, с первоклассной инфраструктурой. Вместе с квартирой возможна продажа машиномест в подземном паркинге. Квартира свободна. СОБСТВЕННОСТЬ БОЛЕЕ ТРЕХ ЛЕТ! Немного о районе: Район Тропарёво-Никулино  один из самых престижных и экологически чистых районов ЗАО. Причина в отсутствии промышленных предприятий и удачном расположении на возвышенности. Район заслуженно пользуется репутацией одного из самых крупных интеллектуального, научного и культурного центров столицы. Здесь находятся 6 высших учебных заведений, из них 3 академии. Много разнообразных учреждений культуры. Пром. предприятий в районе нет. Отличная транспортная сеть, удобно ехать в любом направлении. В непосредственной близости от жилого комплекса находится лесопарк Тропарево-Никулино.
Фрунзенская	Москва, ЦАО, р-н Хамовники, м. Фрунзенская, улица Усачева, 11	2-комн. кв.	101	8	16	44050000	Продается квартира 101,1 м2. Без отделки. ПЛАНИРОВКА: Кухня, 2 спальные комнаты, с/у, холл. Панорамные окна. ОПЕРАТИВНЫЙ ПОКАЗ.
Динамо	Москва, САО, р-н Савеловский, м. Динамо, Петровско-Разумовский проезд, 15	4-комн. кв.	167	4	14	45000000	Квартира с дизайнерским ремонтом в престижном доме с огороженной территорией и подземным паркингом. В квартире продуманная удобная планировка, изолированные комнаты 25 м, 20 м, 15 м, кухня 20 м совмещена с гостиной 30 м, большая панорамная застекленная и утепленная лоджия 18 м, застекленный балкон, два совмещенных санузла, гардеробная, по всей квартире установлена система приточно-вытяжной вентиляции и система кондиционирования. Чистый ухоженный подъезд, круглосуточная охрана, видеонаблюдение мест общего пользования и периметра, подземный паркинг с автомойкой, на территории своя детская площадка. Развитая инфраструктура района для комфортной жизни: детские сады, школы, поликлиники, фитнес-центры, салоны красоты, крупные торговые центры, рядом Тимирязевский парк с прекрасными местами для прогулок, удобный выезд на основные магистрали города. Дополнительно продается два машиноместа в подземном паркинге. Документы: договор купли-продажи более трех лет, полная стоимость в договоре, два взрослых собственника, подходит под ипотеку, все документы для сделки собраны, альтернатива.
Фрунзенская	Москва, ЦАО, р-н Хамовники, м. Фрунзенская, улица Льва Толстого, 23/7кв	2-комн. кв.	75	4	7	54500000	"ОФИС ПРОДАЖ квартир в ЖК ""ЛИТЕРАТОР"". Светлая квартира с тремя панорамными окнами и хорошими видами во внутренний двор. Планируется: кухня-гостиная, спальня и 2 анузла. Есть лоджия. В подземном паркинге 1 машино-место. ЖК ""Литератор"" премиум-класса расположен в центре столицы, на ул. Льва Толстого, вблизи Усадьбы Трубецких. Комплекс представляет собой квартал, застроенный особняками разной этажности до 7 этажей, с организованными внутренними дворами. Комплекс имеет многоуровневую систему безопасности, видеонаблюдение, 2-х уровневый подземный паркинг. Инфраструктура включает детский сад, собственный фитнес-клуб с бассейном, кафе, отделение банка, магазины. Территория комплекса большая, тихая, зеленая и комфортная, полностью закрытая для движения автотранспорта. Вознаграждение агентам."
Спортивная	Москва, ЦАО, р-н Хамовники, м. Спортивная, улица Ефремова, 10с1к4/1	3-комн. кв.	101	4	12	65000000	"Вторичная продажа, от физического лица в ЖК ""Садовые кварталы"". Корпус 4.2. Оформлена собственность, активно ведутся ремонты. В квартире 9 окон, она залита светом. Без отделки. Прекрасно планируется, много пространства и воздуха.  Грандиозный проект архитектора Сергея Скуратова  в Хамовниках рядом с парком Трубецких. Комфортное место для жилья и отдыха в самом центре Москвы. На территории детские сады и школы, пешеходные и беговые дорожки и скверы, в центре квартала-живописный пруд с зоной уютных кафе. Четкое разграничение жилой зоны и зоны отдыха, трансортные средства передвигаются строго по подземной части. Контроль доступа, круглосуточная охрана.  Потолки в квартирах 3,60м.,  панорамное остекление. Вознаграждение агентам!"
